HCHO_reading,Location,Date
0.0001058124670207,Colombo Proper,2020-04-10
0.0001740889785322,Colombo Proper,2020-04-11
0.0001601075035254,Colombo Proper,2020-04-12
0.000180797177747,Colombo Proper,2020-04-13
0.0002226960722198,Colombo Proper,2020-04-14
4.693396476795897e-05,Colombo Proper,2020-04-15
0.0001989634346848,Colombo Proper,2020-04-16
0.000183928161466,Colombo Proper,2020-04-17
0.0002145379453068,Colombo Proper,2020-04-18
0.0001914146864312,Colombo Proper,2020-04-19
0.0002031757939126,Colombo Proper,2020-04-20
0.00018881658632083332,Colombo Proper,2020-04-21
0.00017445737872906668,Colombo Proper,2020-04-22
0.0001600981711373,Colombo Proper,2020-04-23
0.0001503946084734,Colombo Proper,2020-04-24
0.0001406910458095,Colombo Proper,2020-04-25
0.0001359427979954,Colombo Proper,2020-04-26
0.0001354434317104,Colombo Proper,2020-04-27
7.410965218508509e-05,Colombo Proper,2020-04-28
0.0001046117112512,Colombo Proper,2020-04-29
0.0001838830943896,Colombo Proper,2020-04-30
0.0001656320082705,Colombo Proper,2020-05-01
0.0002379170848126,Colombo Proper,2020-05-02
0.0001532576961496,Colombo Proper,2020-05-03
0.0002307680164753,Colombo Proper,2020-05-04
0.000205318451846,Colombo Proper,2020-05-05
0.0001798688872167,Colombo Proper,2020-05-06
0.0001544193225874,Colombo Proper,2020-05-07
0.0001289697579581,Colombo Proper,2020-05-08
0.0001123520465512,Colombo Proper,2020-05-09
0.00015199413133256667,Colombo Proper,2020-05-10
0.00019163621611393336,Colombo Proper,2020-05-11
0.0002312783008953,Colombo Proper,2020-05-12
0.0001631825917376,Colombo Proper,2020-05-13
0.0001503001493125,Colombo Proper,2020-05-14
0.00019869010634675,Colombo Proper,2020-05-15
0.000247080063381,Colombo Proper,2020-05-16
0.00029547002041525,Colombo Proper,2020-05-17
0.00023139808786085,Colombo Proper,2020-05-19
0.0001189361982722,Colombo Proper,2020-05-20
7.285785737490267e-05,Colombo Proper,2020-05-21
9.334989556635265e-05,Colombo Proper,2020-05-23
0.0001599202746551,Colombo Proper,2020-05-24
0.0001229970456021,Colombo Proper,2020-05-25
8.88699439362386e-05,Colombo Proper,2020-05-26
9.85630609279193e-05,Colombo Proper,2020-05-27
0.0001082561779196,Colombo Proper,2020-05-28
6.240960160428663e-05,Colombo Proper,2020-05-29
7.980119621548877e-05,Colombo Proper,2020-05-31
0.000121141944122,Colombo Proper,2020-06-01
0.0001334314306849,Colombo Proper,2020-06-02
4.184015518299238e-05,Colombo Proper,2020-06-03
6.386906709541972e-05,Colombo Proper,2020-06-04
6.390508387308208e-05,Colombo Proper,2020-06-05
7.232856357156823e-05,Colombo Proper,2020-06-06
8.075204327005436e-05,Colombo Proper,2020-06-07
8.91755229685405e-05,Colombo Proper,2020-06-08
9.759900266702665e-05,Colombo Proper,2020-06-09
0.0001844867718274,Colombo Proper,2020-06-10
6.831016086857515e-05,Colombo Proper,2020-06-12
0.0001262331509948,Colombo Proper,2020-06-13
0.0001954386378505,Colombo Proper,2020-06-14
0.00017803345080596666,Colombo Proper,2020-06-15
0.00016062826376143333,Colombo Proper,2020-06-16
0.0001432230767169,Colombo Proper,2020-06-17
7.33823541965766e-05,Colombo Proper,2020-06-18
5.250919320498035e-05,Colombo Proper,2020-06-19
7.053601420995188e-05,Colombo Proper,2020-06-20
7.116556049105728e-05,Colombo Proper,2020-06-21
7.179510677216268e-05,Colombo Proper,2020-06-22
5.6629476756205874e-05,Colombo Proper,2020-06-24
7.26711994687039e-05,Colombo Proper,2020-06-25
8.871292218120195e-05,Colombo Proper,2020-06-26
0.0001047546448937,Colombo Proper,2020-06-27
9.694238940661948e-05,Colombo Proper,2020-06-28
9.880908709965974e-05,Colombo Proper,2020-06-29
0.0001006757847927,Colombo Proper,2020-06-30
8.496655202105822e-05,Colombo Proper,2020-07-01
5.695702040364191e-05,Colombo Proper,2020-07-02
0.000229363866223,Colombo Proper,2020-07-03
0.0001326400427316,Colombo Proper,2020-07-04
8.090942063966833e-05,Colombo Proper,2020-07-05
8.296585183666834e-05,Colombo Proper,2020-07-07
0.0001367529051256,Colombo Proper,2020-07-08
0.00012915609632766298,Colombo Proper,2020-07-09
0.00012155928752972597,Colombo Proper,2020-07-10
0.00011396247873178896,Colombo Proper,2020-07-11
0.00010636566993385194,Colombo Proper,2020-07-12
9.876886113591492e-05,Colombo Proper,2020-07-13
0.0001549258383588,Colombo Proper,2020-07-14
0.0001079511928576,Colombo Proper,2020-07-15
0.000123687848146,Colombo Proper,2020-07-16
0.0001394245034344,Colombo Proper,2020-07-17
0.0001175511391026,Colombo Proper,2020-07-18
0.0002221648503303,Colombo Proper,2020-07-20
0.0001123538342313,Colombo Proper,2020-07-21
0.00015453785339155,Colombo Proper,2020-07-22
0.0001967218725518,Colombo Proper,2020-07-23
0.00021131577149305,Colombo Proper,2020-07-24
0.00022590967043430003,Colombo Proper,2020-07-25
0.00024050356937555003,Colombo Proper,2020-07-26
0.0002550974683168,Colombo Proper,2020-07-27
0.0001968101895815531,Colombo Proper,2020-07-28
0.00013852291084630617,Colombo Proper,2020-07-29
8.023563211105925e-05,Colombo Proper,2020-07-30
7.22438335812151e-05,Colombo Proper,2020-08-01
7.07309197203072e-05,Colombo Proper,2020-08-02
6.921800585939932e-05,Colombo Proper,2020-08-03
6.770509199849143e-05,Colombo Proper,2020-08-04
6.619217813758353e-05,Colombo Proper,2020-08-05
6.467926427667564e-05,Colombo Proper,2020-08-06
6.316635041576776e-05,Colombo Proper,2020-08-07
6.165343655485986e-05,Colombo Proper,2020-08-08
6.313189372528488e-05,Colombo Proper,2020-08-09
6.461035089570989e-05,Colombo Proper,2020-08-10
6.608880806613491e-05,Colombo Proper,2020-08-11
6.756726523655993e-05,Colombo Proper,2020-08-12
6.824330114802585e-05,Colombo Proper,2020-08-13
6.551141187371996e-05,Colombo Proper,2020-08-14
9.53623197143923e-05,Colombo Proper,2020-08-15
7.377447782326108e-05,Colombo Proper,2020-08-16
5.218663593212984e-05,Colombo Proper,2020-08-17
9.408554995921697e-05,Colombo Proper,2020-08-18
0.000108648368642,Colombo Proper,2020-08-19
5.898684525526202e-05,Colombo Proper,2020-08-20
0.000185514265541,Colombo Proper,2020-08-21
0.0001383807546722,Colombo Proper,2020-08-22
5.800061266907338e-05,Colombo Proper,2020-08-25
0.00012725378676,Colombo Proper,2020-08-26
0.0001226426706302,Colombo Proper,2020-08-27
8.611686644879429e-05,Colombo Proper,2020-08-28
0.0001581098164079,Colombo Proper,2020-08-29
0.0001601970867785,Colombo Proper,2020-08-30
9.00559617642378e-05,Colombo Proper,2020-08-31
9.636161166055853e-05,Colombo Proper,2020-09-01
0.00010266726155687926,Colombo Proper,2020-09-02
0.0001089729114532,Colombo Proper,2020-09-03
8.350929906288698e-05,Colombo Proper,2020-09-04
6.279599504086146e-05,Colombo Proper,2020-09-05
6.081161087169559e-05,Colombo Proper,2020-09-06
5.882722670252972e-05,Colombo Proper,2020-09-07
5.6842842533363845e-05,Colombo Proper,2020-09-08
5.485845836419798e-05,Colombo Proper,2020-09-09
5.287407419503211e-05,Colombo Proper,2020-09-10
5.088969002586624e-05,Colombo Proper,2020-09-11
6.437920269536806e-05,Colombo Proper,2020-09-12
0.0001609683889167,Colombo Proper,2020-09-13
0.000137652727937,Colombo Proper,2020-09-14
0.0001143370669573,Colombo Proper,2020-09-15
8.805458787749168e-05,Colombo Proper,2020-09-17
0.00013920503317149584,Colombo Proper,2020-09-18
0.0001903554784655,Colombo Proper,2020-09-19
0.00015162753890588933,Colombo Proper,2020-09-20
0.00011289959934627865,Colombo Proper,2020-09-21
7.417165978666797e-05,Colombo Proper,2020-09-22
0.0001260179927192,Colombo Proper,2020-09-24
9.083355908411597e-05,Colombo Proper,2020-09-25
5.564912544903195e-05,Colombo Proper,2020-09-26
6.616742823127159e-05,Colombo Proper,2020-09-27
0.000226078828243,Colombo Proper,2020-09-28
0.00015426370370893983,Colombo Proper,2020-09-29
8.244857917487963e-05,Colombo Proper,2020-09-30
