Date,Location,Precipitation,Temperature,Wind Speed,Elevation,HCHO_reading
2019-10-23,Colombo Proper,1.8,27.0,10.3,5.0,0.0001471854356328
2019-10-24,Colombo Proper,13.7,26.1,12.2,5.0,0.0001577523340528
2019-10-25,Colombo Proper,5.3,27.0,10.4,5.0,0.0001683192324729
2019-10-26,Colombo Proper,0.5,26.7,8.0,5.0,0.0001788861308929
2019-10-27,Colombo Proper,0.3,26.2,14.0,5.0,0.000189453029313
2019-10-28,Colombo Proper,17.0,26.1,13.8,5.0,0.000200019927733
2019-10-29,Colombo Proper,4.3,26.1,19.6,5.0,0.0002105868261531
2019-10-30,Colombo Proper,9.7,26.1,21.4,5.0,0.0001869398212893
2019-10-31,Colombo Proper,8.9,26.9,11.9,5.0,0.0001632928164256
2019-11-01,Colombo Proper,0.3,27.6,10.7,5.0,0.0001396458115619
2019-11-02,Colombo Proper,5.3,26.2,7.9,5.0,0.0001020767205157
2019-11-04,Colombo Proper,24.4,27.4,8.4,5.0,0.0001659270451597
2019-11-05,Colombo Proper,0.3,27.9,12.7,5.0,0.0002203240319704
2019-11-06,Colombo Proper,0.5,28.6,13.3,5.0,0.0001085077493071
2019-11-07,Colombo Proper,5.8,28.8,14.0,5.0,0.0001533303704185
2019-11-09,Colombo Proper,10.9,27.1,13.7,5.0,6.201775344162804e-05
2019-11-10,Colombo Proper,6.1,27.4,13.5,5.0,9.954417328117417e-05
2019-11-11,Colombo Proper,3.4,27.2,11.8,5.0,0.0002464783486751
2019-11-12,Colombo Proper,2.0,27.4,8.7,5.0,0.0002286748077898
2019-11-13,Colombo Proper,16.5,27.4,7.9,5.0,0.0001672628260425
2019-11-14,Colombo Proper,18.3,28.4,8.0,5.0,0.0001058508442953
2019-11-16,Colombo Proper,4.6,26.5,10.1,5.0,0.0001181269595507
2019-11-17,Colombo Proper,9.4,28.0,7.9,5.0,0.0002163568638083
2019-11-18,Colombo Proper,6.1,27.2,9.7,5.0,0.0002562980434127
2019-11-19,Colombo Proper,26.4,26.8,10.6,5.0,0.0002262293126616
2019-11-20,Colombo Proper,22.1,27.2,7.9,5.0,0.0001183108649021
2019-11-21,Colombo Proper,1.3,27.6,7.9,5.0,0.0002690103541566
2019-11-22,Colombo Proper,5.1,26.9,8.1,5.0,0.0002406342461061
2019-11-25,Colombo Proper,11.6,26.1,8.0,5.0,9.858844396058432e-05
2019-11-26,Colombo Proper,18.5,26.9,7.9,5.0,0.0001413787106896
2019-11-27,Colombo Proper,28.2,27.7,7.9,5.0,0.0002078347199929
2019-12-01,Colombo Proper,38.1,26.8,7.9,5.0,0.0001704950669758
2019-12-02,Colombo Proper,0.3,27.6,10.8,5.0,0.0001486318043901
2019-12-03,Colombo Proper,3.8,27.7,9.8,5.0,0.0001022840006044
2019-12-04,Colombo Proper,27.6,26.3,8.8,5.0,0.0001122838173244
2019-12-06,Colombo Proper,10.7,28.0,13.0,5.0,0.0001322834507644
2019-12-07,Colombo Proper,28.2,26.3,7.9,5.0,0.0001398665784246
2019-12-08,Colombo Proper,5.1,27.3,10.4,5.0,0.0001474497060849
2019-12-09,Colombo Proper,8.4,27.0,10.8,5.0,0.000166717643919
2019-12-10,Colombo Proper,8.5,27.5,7.9,5.0,0.0001859855817531
2019-12-12,Colombo Proper,2.2,28.0,7.9,5.0,0.0001042457855687
2019-12-13,Colombo Proper,5.2,28.9,7.9,5.0,0.0002164941691222
2019-12-16,Colombo Proper,3.8,28.1,7.9,5.0,0.00027549814347
2019-12-17,Colombo Proper,4.5,27.4,7.9,5.0,0.0001214960906414
2019-12-18,Colombo Proper,9.8,27.2,8.2,5.0,0.0001109945182277
2019-12-19,Colombo Proper,1.0,26.9,7.9,5.0,0.000100492945814
2019-12-20,Colombo Proper,29.5,26.1,7.9,5.0,8.999137340038978e-05
2019-12-21,Colombo Proper,1.5,27.6,7.9,5.0,7.94898009867197e-05
2019-12-23,Colombo Proper,16.7,27.5,14.7,5.0,0.0001485055886232
2019-12-24,Colombo Proper,1.0,27.6,8.2,5.0,0.0002550241906414
2019-12-26,Colombo Proper,1.4,27.4,8.6,5.0,0.0002037281242062
2019-12-27,Colombo Proper,0.3,28.1,9.9,5.0,0.0002416867643049
2019-12-28,Colombo Proper,0.3,27.6,10.8,5.0,0.0001144656784438
2019-12-29,Colombo Proper,3.8,28.3,9.2,5.0,0.0001522148543134
2019-12-31,Colombo Proper,0.3,27.9,7.9,5.0,0.0002425853228765
2020-01-01,Colombo Proper,1.1,27.7,7.9,5.0,0.0001909560301447
2020-01-02,Colombo Proper,6.7,27.4,7.9,5.0,0.000175819716712
2020-01-04,Colombo Proper,1.7,28.2,8.6,5.0,0.0002221505765049
2020-01-05,Colombo Proper,1.8,28.1,7.9,5.0,0.0001451638839321
2020-01-06,Colombo Proper,0.3,28.8,8.2,5.0,0.0002312682960304
2020-01-07,Colombo Proper,3.8,29.2,11.6,5.0,0.000165506418085
2020-01-08,Colombo Proper,0.3,28.7,10.4,5.0,0.0001594447211986
2020-01-09,Colombo Proper,3.8,27.8,11.9,5.0,0.0001765471459148
2020-01-11,Colombo Proper,3.8,27.9,19.7,5.0,8.481429740966081e-05
2020-01-12,Colombo Proper,0.4,28.4,17.2,5.0,0.0001070849342063
2020-01-13,Colombo Proper,3.8,28.3,17.1,5.0,0.000239419617662
2020-01-14,Colombo Proper,3.8,27.3,16.9,5.0,0.0002342143239867
2020-01-15,Colombo Proper,3.8,26.9,11.3,5.0,0.0002480890194684
2020-01-16,Colombo Proper,3.8,27.7,12.7,5.0,0.000249871291022
2020-01-17,Colombo Proper,0.3,28.4,7.9,5.0,0.0002516535625757
2020-01-18,Colombo Proper,0.6,28.5,8.8,5.0,0.0001968408803631
2020-01-20,Colombo Proper,0.5,28.6,9.3,5.0,0.0001422912093679
2020-01-21,Colombo Proper,0.5,28.9,10.7,5.0,0.0001066841920417
2020-01-22,Colombo Proper,1.6,28.7,14.9,5.0,8.923695397071347e-05
2020-01-23,Colombo Proper,1.4,29.1,10.7,5.0,0.0001767864040997
2020-01-24,Colombo Proper,0.4,28.8,13.6,5.0,0.0002021668074626
2020-01-25,Colombo Proper,3.8,28.2,14.8,5.0,0.0001754756686984
2020-01-26,Colombo Proper,3.8,28.2,11.6,5.0,0.0001495594419054
2020-01-27,Colombo Proper,3.8,27.6,13.2,5.0,0.0001982027954691
2020-01-28,Colombo Proper,3.8,27.2,16.3,5.0,0.0002315512988484
2020-01-29,Colombo Proper,3.8,27.8,12.8,5.0,0.0002020505990937
2020-02-02,Colombo Proper,1.1,28.3,11.2,5.0,0.0002660284037032
2020-02-03,Colombo Proper,3.8,28.2,12.0,5.0,0.0002472165544068
2020-02-06,Colombo Proper,3.8,28.4,14.1,5.0,0.0002286302464304
2020-02-07,Colombo Proper,3.8,27.7,14.5,5.0,0.000118202084601
2020-02-08,Colombo Proper,3.8,27.8,15.2,5.0,0.0002355592067721
2020-02-11,Colombo Proper,3.8,28.5,10.7,5.0,0.0001552948225782
2020-02-12,Colombo Proper,3.3,29.7,14.4,5.0,0.0002317122707609
2020-02-13,Colombo Proper,2.2,29.7,14.9,5.0,0.0002089000604718
2020-02-14,Colombo Proper,3.1,28.7,7.9,5.0,0.0002613268290532
2020-02-22,Colombo Proper,4.7,29.7,10.2,5.0,0.000137693889204
2020-02-23,Colombo Proper,3.8,29.7,11.6,5.0,0.000269251566778
2020-02-24,Colombo Proper,0.3,28.9,13.0,5.0,0.000223191232682
2020-02-25,Colombo Proper,0.3,29.6,16.9,5.0,0.0002569998392544
2020-02-28,Colombo Proper,0.4,28.8,13.4,5.0,0.000211519513137
2020-03-02,Colombo Proper,3.8,28.6,17.0,5.0,0.0002060890148762
2020-03-04,Colombo Proper,3.8,28.5,15.1,5.0,0.0002362716687098
2020-03-05,Colombo Proper,0.5,28.9,11.3,5.0,0.0001900671849609
2020-03-06,Colombo Proper,0.7,29.2,12.0,5.0,0.0002108390146402
2020-03-07,Colombo Proper,1.2,29.2,14.3,5.0,0.0002018515323925
2020-03-08,Colombo Proper,0.3,29.1,17.0,5.0,0.0002378402403791
2020-03-12,Colombo Proper,0.3,29.7,12.9,5.0,0.0002215638802353
2020-03-15,Colombo Proper,1.6,29.3,10.4,5.0,0.0002086684833428
2020-03-18,Colombo Proper,0.4,28.9,11.9,5.0,0.0002766460638569
2020-03-19,Colombo Proper,14.5,29.1,15.0,5.0,0.000237640666213
2020-03-20,Colombo Proper,4.2,27.6,10.8,5.0,0.0001986352685691
2020-03-21,Colombo Proper,6.1,29.0,10.4,5.0,0.0001596298709252
2020-03-22,Colombo Proper,3.8,29.1,12.3,5.0,0.0002507782280502
2020-03-24,Colombo Proper,0.5,29.7,15.1,5.0,0.0002191446162801
2020-03-25,Colombo Proper,1.1,29.7,13.4,5.0,0.0001738920288399
2020-03-27,Colombo Proper,3.8,27.7,16.3,5.0,0.0002081620022439
2020-03-29,Colombo Proper,1.3,29.7,11.8,5.0,0.0001863390892109
2020-03-30,Colombo Proper,0.3,29.0,9.5,5.0,0.0002342340060185
2020-03-31,Colombo Proper,1.3,29.3,11.8,5.0,0.0001685367646813
2020-04-01,Colombo Proper,9.1,28.6,15.3,5.0,0.0001582845579832
2020-04-02,Colombo Proper,3.8,29.2,17.9,5.0,0.0002478837732618
2020-04-03,Colombo Proper,3.8,28.8,15.2,5.0,0.0002588460179914
2020-04-05,Colombo Proper,1.5,29.7,12.9,5.0,0.0001920429848473
2020-04-06,Colombo Proper,0.3,29.7,10.5,5.0,0.0002127745101051
2020-04-07,Colombo Proper,4.6,29.5,12.3,5.0,9.38554371256366e-05
2020-04-08,Colombo Proper,11.2,29.7,14.8,5.0,0.0001365360921676
2020-04-09,Colombo Proper,28.2,28.6,12.8,5.0,0.0001492311110197
