"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-06","0.0",",,S","29.7","H,,S","34.5",",,S","24.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-07","0.0",",,S","29.9","H,,S","33.6",",,S","24.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-08","0.0",",,S","30.0","H,,S","34.1",",,S","25.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-09","0.0",",,S","29.9","H,,S","33.2",",,S","25.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-10","0.0",",,S","31.9","H,,S","34.6",",,S","25.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-12","0.0",",,S","30.3","H,,S","35.2",",,S","25.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-13","0.0",",,S","31.3","H,,S",,,"25.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-15","0.0",",,S","30.6","H,,S",,,"26.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-16","0.0",",,S","30.6","H,,S",,,"26.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-17","0.0",",,S","32.3","H,,S","35.2",",,S","25.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-18","0.0",",,S","32.0","H,,S","35.0",",,S","26.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-19","0.0",",,S","30.9","H,,S","35.5",",,S","24.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-20","0.0",",,S","30.8","H,,S",,,"24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-21","0.0",",,S","30.6","H,,S","35.3",",,S","24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-23","0.0",",,S","30.4","H,,S","36.0",",,S","23.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-26","0.0",",,S","30.4","H,,S",,,"24.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-27","0.0",",,S","31.1","H,,S","36.0",",,S","25.7",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-28","0.0",",,S","31.6","H,,S","35.7",",,S","26.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-29","0.3",",,S","31.2","H,,S","35.6",",,S","26.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-30","0.0",",,S","30.7","H,,S",,,"26.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-02","0.0",",,S","30.4","H,,S",,,"26.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-03","0.0",",,S","29.2","H,,S","34.2",",,S","26.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-04","15.7",",,S","26.6","H,,S","31.4",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-05","38.9",",,S","30.0","H,,S","33.4",",,S","24.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-06","0.0",",,S","28.9","H,,S","32.6",",,S","25.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-07","1.0",",,S","28.9","H,,S","32.1",",,S","25.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-08","3.3",",,S","31.0","H,,S","33.5",",,S","24.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-09","0.0",",,S","28.2","H,,S",,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-10","54.9",",,S","26.2","H,,S",,,"22.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-11","0.8",",,S","28.6","H,,S","31.7",",,S","23.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-12","9.9",",,S","27.6","H,,S","30.2",",,S","23.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-15","2.8",",,S","31.1","H,,S","33.4",",,S","24.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-16","0.0",",,S","28.6","H,,S","33.8",",,S","26.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-17","0.0",",,S","29.6","H,,S","32.4",",,S","26.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-23","0.0",",,S","29.4","H,,S","33.1",",,S","25.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-24","0.0",",,S","30.2","H,,S","32.8",",,S","26.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-27","0.0",",,S","29.7","H,,S","33.7",",,S","25.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-30","0.0",",,S","28.9","H,,S",,,"25.7",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-01","0.0",",,S","29.7","H,,S","33.3",",,S","25.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-02","0.0",",,S","29.0","H,,S","33.0",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-03","1.8",",,S","29.8","H,,S","33.4",",,S","25.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-04","0.0",",,S","29.8","H,,S",,,"25.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-06","0.0",",,S","31.0","H,,S","33.0",",,S","25.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-07","0.0",",,S","30.3","H,,S","34.4",",,S","25.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-08","0.0",",,S","31.2","H,,S","34.7",",,S","24.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-09","0.0",",,S","27.7","H,,S","33.5",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-11","25.9",",,S","28.6","H,,S","33.3",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-14","0.0",",,S","28.8","H,,S",,,"23.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-15","2.0",",,S","27.9","H,,S","31.0",",,S","24.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-16","5.1",",,S","29.2","H,,S","32.8",",,S","24.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-17","0.0",",,S","28.0","H,,S","31.0",",,S","25.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-18","5.1",",,S","26.9","H,,S","29.6",",,S","24.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-19","5.8",",,S","28.2","H,,S","30.1",",,S","23.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-21","0.3",",,S","28.6","H,,S","31.6",",,S","25.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-22","0.3",",,S","28.2","H,,S","31.2",",,S","25.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-23","0.0",",,S","28.5","H,,S",,,"25.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-24","0.0",",,S","29.2","H,,S",,,"24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-25","3.3",",,S","27.8","H,,S","30.9",",,S","24.7",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-27","0.8",",,S","29.7","H,,S","31.8",",,S","23.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-28","0.0",",,S","28.8","H,,S","31.9",",,S","24.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-29","0.0",",,S","28.4","H,,S","32.0",",,S","23.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-30","0.0",",,S","29.2","H,,S","33.4",",,S","24.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-31","0.0",",,S","29.2","H,,S",,,"25.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-01","0.0",",,S","29.7","H,,S","32.9",",,S","24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-02","0.0",",,S","30.7","H,,S","32.8",",,S","25.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-05","0.0",",,S","29.0","H,,S",,,"25.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-06","4.8",",,S","30.0","H,,S","32.8",",,S","24.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-07","0.0",",,S","28.5","H,,S",,,"25.4",",,S"
